"Source:","/home/ribarski/Elsys/Diplomna rabota/electricscheme/electricscheme.kicad_sch"
"Date:","14.03.2022 (пн) 20:34:48"
"Tool:","Eeschema 6.0.2-378541a8eb~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","26"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","DESCRIPTION","MF","MP","PACKAGE","PRICE"
"","","C1","0.1uF","Device:C","","~","","","","","",""
"","","C2","0.1uF","Device:C","","~","","","","","",""
"","","C3","0.1uF","Device:C","","~","","","","","",""
"","","C4","0.1uF","Device:C","","~","","","","","",""
"","","D1","POWER LED","Device:LED","","~","","","","","",""
"","","D2","Detection LED","Device:LED","","~","","","","","",""
"","","D3","POWER LED","Device:LED","","~","","","","","",""
"","","D4","IR TX","LED:IR26-21C_L110_TR8","LED_SMD:LED_1206_3216Metric","http://www.everlight.com/file/ProductFile/IR26-21C-L110-TR8.pdf","","","","","",""
"","","D5","IR TX","LED:IR26-21C_L110_TR8","LED_SMD:LED_1206_3216Metric","http://www.everlight.com/file/ProductFile/IR26-21C-L110-TR8.pdf","","","","","",""
"","","D6","IR RX","LED:IR204A","LED_THT:LED_D3.0mm_IRBlack","http://www.everlight.com/file/ProductFile/IR204-A.pdf","","","","","",""
"","","D7","IR RX","LED:IR204A","LED_THT:LED_D3.0mm_IRBlack","http://www.everlight.com/file/ProductFile/IR204-A.pdf","","","","","",""
"","","D8","Detection LED","Device:LED","","~","","","","","",""
"","","R1","1k","Device:R","","~","","","","","",""
"","","R2","100","Device:R","","~","","","","","",""
"","","R3","10k","Device:R","","~","","","","","",""
"","","R4","1k","Device:R","","~","","","","","",""
"","","R5","1k","Device:R","","~","","","","","",""
"","","R6","100","Device:R","","~","","","","","",""
"","","R7","10k","Device:R","","~","","","","","",""
"","","R8","1k","Device:R","","~","","","","","",""
"","","RV1","10k","Device:R_Potentiometer","","~","","","","","",""
"","","RV2","10k","Device:R_Potentiometer","","~","","","","","",""
"","","U1","LM358",":LM358_2","","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf","","","","","",""
"","","U2","LM358",":LM358_2","","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf","","","","","",""
"","","U3","ESP32-DEVKITC","ESP:ESP32-DEVKITC","MODULE_ESP32-DEVKITC","","Unavailable","EVAL BOARD FOR ESP-WROOM-32","Espressif Systems","ESP32-DEVKITC-32D-F","None","None"
"","","U4","LM35","Sensor_Temperature:LM35-D","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm35.pdf","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","DESCRIPTION","MF","MP","PACKAGE","PRICE"
"1","4","C1, C2, C3, C4","0.1uF","Device:C","","~","","","","","",""
"2","2","D1, D3","POWER LED","Device:LED","","~","","","","","",""
"3","2","D2, D8","Detection LED","Device:LED","","~","","","","","",""
"4","2","D4, D5","IR TX","LED:IR26-21C_L110_TR8","LED_SMD:LED_1206_3216Metric","http://www.everlight.com/file/ProductFile/IR26-21C-L110-TR8.pdf","","","","","",""
"5","2","D6, D7","IR RX","LED:IR204A","LED_THT:LED_D3.0mm_IRBlack","http://www.everlight.com/file/ProductFile/IR204-A.pdf","","","","","",""
"6","4","R1, R4, R5, R8","1k","Device:R","","~","","","","","",""
"7","2","R2, R6","100","Device:R","","~","","","","","",""
"8","2","R3, R7","10k","Device:R","","~","","","","","",""
"9","2","RV1, RV2","10k","Device:R_Potentiometer","","~","","","","","",""
"10","2","U1, U2","LM358",":LM358_2","","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf","","","","","",""
"11","1","U3","ESP32-DEVKITC","ESP:ESP32-DEVKITC","MODULE_ESP32-DEVKITC","","Unavailable","EVAL BOARD FOR ESP-WROOM-32","Espressif Systems","ESP32-DEVKITC-32D-F","None","None"
"12","1","U4","LM35","Sensor_Temperature:LM35-D","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm35.pdf","","","","","",""
